pi_first_name,pi_last_name,school,state,city,website,postdoc_wanted,postdoc_ads_added_date,postdoc_ads_expiration_date,postdoc_ads_link,research_interest,source,institute_carnegie_classification
Shengping,Zheng,Hunter College,New York,,https://hunter.cuny.edu/artsci/chemistry/faculty-and-staff/profile/shengping-zheng/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Paramjit,Arora,New York University,New York,New York City,https://wp.nyu.edu/arora/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Tianning,Diao,New York University,New York,New York City,https://as.nyu.edu/faculty/tianning-diao.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Dirk,Trauner,New York University,New York,New York City,https://www.traunergroup.org,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Keith,Woerpel,New York University,New York,New York City,https://wp.nyu.edu/woerpelgroup/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Derek,Tan,Sloan Kettering ,New York,,https://www.mskcc.org/research/ski/labs/derek-tan,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Ming-Yu,Ngai,Stony Brook University,New York,Stony Brook,https://www.ngaigroup.com/p/home.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Iwao,Ojima,Stony Brook University,New York,Stony Brook,https://www.stonybrook.edu/commcms/ojima_group/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Kathlyn,Parker,Stony Brook University,New York,Stony Brook,https://www.stonybrook.edu/commcms/chemistry/faculty/_faculty-profiles/parker-kathy,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
John,Chisholm,Syracuse University,New York,Syracuse,https://thecollege.syr.edu/people/faculty/chisholm-john-d/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Nancy,Totah,Syracuse University,New York,Syracuse,https://thecollege.syr.edu/people/faculty/totah-nancy-i/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Ting,Wang,University at Albany,New York,Albany,https://www.albany.edu/twanglab/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Zhang,Wang,University at Albany,New York,Albany,https://zwang9.wixsite.com/orgsyn,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
John,Welch,University at Albany,New York,Albany,https://sites.google.com/site/welchresearchlab/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Qiang,Zhang,University at Albany,New York,Albany,https://www.albany.edu/zhanggroup/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Sherry,Chemler,University at Buffalo,New York,Buffalo,http://www.acsu.buffalo.edu/~schemler/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Steven,Diver,University at Buffalo,New York,Buffalo,https://arts-sciences.buffalo.edu/chemistry/faculty/faculty-directory/diver.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Alison,Frontier,University of Rochester,New York,Rochester,http://www.sas.rochester.edu/chm/groups/frontier/index.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Benjamin,Miller,University of Rochester Medical,New York,,https://www.urmc.rochester.edu/labs/benjamin-miller.aspx,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jiyong,Hong,Duke University,North Carolina,Durham,https://sites.duke.edu/thehonggroup/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Steven,Malcolmson,Duke University,North Carolina,Durham,https://malcolmsongroup.chem.duke.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Qiu,Wang,Duke University,North Carolina,Durham,https://people.duke.edu/~qw29/wang_group/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Ross,Widenhoefer,Duke University,North Carolina,Durham,https://sites.duke.edu/widenhoeferlab/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Vincent,Lindsay,North Carolina State University,North Carolina,Raleigh,https://www.lindsaylab.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jonathan,Lindsey,North Carolina State University,North Carolina,Raleigh,https://sites.google.com/ncsu.edu/lindsey-lab/home,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Joshua,Pierce,North Carolina State University,North Carolina,Raleigh,https://piercegroup.wordpress.ncsu.edu,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Caroline,Proulx,North Carolina State University,North Carolina,Raleigh,https://www.proulxlab.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Erik,Alexanian,"University of North Carolina, Chapel Hill",North Carolina,Chapel Hill,https://www.alexanianlab.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jeffrey,Aubé,"University of North Carolina, Chapel Hill",North Carolina,Chapel Hill,https://chem.unc.edu/faculty/Aube-Jeff/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Michel,Gagné,"University of North Carolina, Chapel Hill",North Carolina,Chapel Hill,https://gagnegroup.web.unc.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jeff,Johnson,"University of North Carolina, Chapel Hill",North Carolina,Chapel Hill,https://sites.google.com/view/jsjresearchgroup/home,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Simon,Meek,"University of North Carolina, Chapel Hill",North Carolina,Chapel Hill,https://sites.google.com/view/meeklab/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
David,Nicewicz,"University of North Carolina, Chapel Hill",North Carolina,Chapel Hill,https://www.nicewiczlaboratory.com,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Mitchell,Croatt,"University of North Carolina, Greensboro",North Carolina,Greensboro,https://chem.uncg.edu/croatt/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Kimberley,Petersen,"University of North Carolina, Greensboro",North Carolina,Greensboro,https://chem.uncg.edu/petersen/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Bruce,King,Wake Forest University,North Carolina,Winston-Salem,https://kinglab.chemistry.wfu.edu,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Mark,Welker,Wake Forest University,North Carolina,Winston-Salem,https://chemistry.wfu.edu/people/faculty/mark-welker/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Greg,Cook,North Dakota State,North Dakota,Fargo,http://cook.chem.ndsu.edu,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Mukund,Sibi,North Dakota State,North Dakota,Fargo,http://sibiresearch.com,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Robert,Salomon,Case Western Reserve University,Ohio,Cleveland,https://case.edu/artsci/chem/faculty/salomon/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Benjamin,Gung,Miami of Ohio University,Ohio,,http://chemistry.muohio.edu/gung/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Craig,Forsyth,Ohio State University,Ohio,Columbus,https://chemistry.osu.edu/people/forsyth.14,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
David,Nagib,Ohio State University,Ohio,Columbus,https://research.cbc.osu.edu/nagib.1/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jon,Parquette,Ohio State University,Ohio,Columbus,https://research.cbc.osu.edu/parquette.1/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
T. V.,Rajanbabu,Ohio State University,Ohio,Columbus,https://research.cbc.osu.edu/rajanbabu.1/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Blake,Peterson,"Ohio State University, Pharmacy",Ohio,Columbus,https://pharmacy.osu.edu/directory/blake-r-peterson,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Stephen,Bergmeier,Ohio University,Ohio,Athens,https://www.ohio.edu/cas/bergmeis,,,,,,,
Mark,McMills,Ohio University,Ohio,Athens,https://www.ohio.edu/cas/mcmills,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Davita L.,Watkins,The Ohio State University,Ohio,Columbus,http://watkinsresearchgroup.org/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Hairong,Guan,University of Cincinnati,Ohio,,https://www.guanresearchgroup.com,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Peter,Andreana,University of Toledo,Ohio,Toledo,https://www.andreanagroup.com,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Wei,Li,University of Toledo,Ohio,Toledo,https://wei-li-jgtz.squarespace.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Steven,Shucheck,University of Toledo,Ohio,Toledo,http://sucheckgroup.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Michael,Young,University of Toledo,Ohio,Toledo,https://www.younggroupchem.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jianglong,Zhu,University of Toledo,Ohio,Toledo,https://www.utoledo.edu/nsm/chemistry/people/Webpages/Zhu.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Richard,Bunce,Oklahoma State University,Oklahoma,Stillwater,https://chemistry.okstate.edu/bios/348-faculty-member-bio-bunce,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Toby,Nelson,Oklahoma State University,Oklahoma,Stillwater,https://nelsonlab.okstate.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jimmie,Pitre,Oklahoma State University,Oklahoma,Stillwater,https://pitrelab.okstate.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jimmie,Weaver,Oklahoma State University,Oklahoma,Stillwater,https://weaverlab.okstate.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Anthony,Burgett,University of Oklahoma,Oklahoma,Norman,https://www.burgettresearchgroup.org,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Adam,Duerfeldt,University of Oklahoma,Oklahoma,Norman,https://www.duerfeldtlabs.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Kenneth,Nicholas,University of Oklahoma,Oklahoma,Norman,https://www.ou.edu/cas/chemistry/directory/faculty/kenneth-nicholas,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Indrajeet,Sharma,University of Oklahoma,Oklahoma,Norman,https://indrajeetsharma.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Syed,Hussaini,University of Tulsa,Oklahoma,Tulsa,https://sites.utulsa.edu/hussaini/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Chris,Beaudry,Oregon State University,Oregon,Corvallis,https://beaudry.chem.oregonstate.edu,,,,https://beaudry.chem.oregonstate.edu/content/join,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Paul,Blakemore,Oregon State University,Oregon,Corvallis,http://sites.science.oregonstate.edu/chemistry/blakemore/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Rich,Carter,Oregon State University,Oregon,Corvallis,https://carterlab.oregonstate.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
James,White,Oregon State University,Oregon,Corvallis,http://sites.science.oregonstate.edu/chemistry/white/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
David,Stuart,Portland State University,Oregon,Portland,https://web.pdx.edu/~dstuart/index.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Michael,Haley,University of Oregon,Oregon,Eugene,https://chemistry.uoregon.edu/profile/haley/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
William,Malachowski,Bryn Mawr University,Pennsylvania,,https://malachowski.blogs.brynmawr.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Fraser,Fleming,Drexel University,Pennsylvania,Philadelphia,https://fleminggroup.godaddysites.com,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
David,Lapinsky,Duquesne University,Pennsylvania,,https://www.duq.edu/academics/faculty/david-lapinsky,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Robert,Flowers,Lehigh University,Pennsylvania,,https://flowersgroup.cas.lehigh.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
David,Vicic,Lehigh University,Pennsylvania,,https://vicic.cas.lehigh.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Ramesh,Giri,Pennsylvania State University,Pennsylvania,University Park,https://sites.psu.edu/girigroup/ramesh-giri-principal-investigator/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Eric,Nacsa,Pennsylvania State University,Pennsylvania,University Park,https://science.psu.edu/chem/people/edn5056,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Rodrigo,Andrade,Temple University,Pennsylvania,Philadelphia,https://sites.temple.edu/andradelab/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Franklin,Davis,Temple University,Pennsylvania,Philadelphia,https://chem.cst.temple.edu/davis.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Sarah,Wengryniuk,Temple University,Pennsylvania,Philadelphia,https://wengryniuklab.weebly.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Marisa,Kozlowski,University of Pennsylvania,Pennsylvania,Philadelphia,https://www.mckgroup.org/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Gary,Molander,University of Pennsylvania,Pennsylvania,Philadelphia,https://web.sas.upenn.edu/gmolandr/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Amos,Smith,University of Pennsylvania,Pennsylvania,Philadelphia,https://web.sas.upenn.edu/smithgroup/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Patrick,Walsh,University of Pennsylvania,Pennsylvania,Philadelphia,https://web.sas.upenn.edu/walshgroup/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jeffrey,Winkler,University of Pennsylvania,Pennsylvania,Philadelphia,https://www.chem.upenn.edu/profile/jeffrey-d-winkler,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Kay,Brummond,University of Pittsburgh,Pennsylvania,Pittsburgh,https://brummondgroupresearch.pitt.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Dennis,Curran,University of Pittsburgh,Pennsylvania,Pittsburgh,https://www.chem.pitt.edu/person/dennis-curran,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Alexander,Deiters,University of Pittsburgh,Pennsylvania,Pittsburgh,https://sites.pitt.edu/~deiters/index.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Paul,Floreancig,University of Pittsburgh,Pennsylvania,Pittsburgh,https://floreancig.weebly.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Velvet,Journigan,University of Pittsburgh,Pennsylvania,Pittsburgh,https://journiganlab.squarespace.com/,,,,https://jobs.sciencecareers.org/job/597036/postdoctoral-associate-position-available/,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Kazunori,Koide,University of Pittsburgh,Pennsylvania,Pittsburgh,https://www.chem.pitt.edu/person/kazunori-koide,,,,https://www.chem.pitt.edu/person/kazunori-koide,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Xinyu,Liu,University of Pittsburgh,Pennsylvania,Pittsburgh,https://sites.pitt.edu/~xinyuliu/lab/Home.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Yiming,Wang,University of Pittsburgh,Pennsylvania,Pittsburgh,https://www.wanglab.chem.pitt.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Peter,Wipf,University of Pittsburgh,Pennsylvania,Pittsburgh,http://ccc.chem.pitt.edu/wipf/index.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Amit,Basu,Brown University,Rhode Island,Providence,https://vivo.brown.edu/display/abasu#,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Paul,Williard,Brown University,Rhode Island,Providence,https://www.brown.edu/academics/chemistry/people/faculty/paul-g-williard,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Brenton,DeBoef,University of Rhode Island,Rhode Island,,https://www.chm.uri.edu/deboefDevel/wordpress/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Byoungmoo,Kim,Clemson University,South Carolina,Clemson,https://scienceweb.clemson.edu/kimgroup/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Daniel,Whitehead,Clemson University,South Carolina,Clemson,https://www.clemson.edu/science/academics/departments/chemistry/index.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Sheryl,Wiskur,University of South Carolina,South Carolina,Columbia,https://www.sc.edu/study/colleges_schools/chemistry_and_biochemistry/internal/research_groups/wiskur_sheryl/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Richard,Lee,St. Jude Children's Hospital,Tennessee,Memphis,https://www.stjude.org/research/labs/lee-lab-richard.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Fatima,Rivas,St. Jude Children's Hospital,Tennessee,Memphis,https://www.stjude.org/research/labs.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Michio,Kurosu,Tennessee Healthy Science Center,Tennessee,,https://mkurosu2.wixsite.com/kurosulab,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
David,Baker,University of Tennessee,Tennessee,Knoxville,https://chem.utk.edu/people/david-c-baker/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Ampofo,Darko,University of Tennessee,Tennessee,Knoxville,https://darkolab.utk.edu,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jeffrey,Johnston,Vanderbilt University,Tennessee,Nashville,https://www.johnstonchemistry.org/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Craig,Lindsley,Vanderbilt University,Tennessee,Nashville,https://lab.vanderbilt.edu/lindsleylab/,,,,https://lab.vanderbilt.edu/lindsleylab/,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Carmelo,Rizzo,Vanderbilt University,Tennessee,Nashville,https://www.vanderbilt.edu:443/chemistry/faculty/rizzo.php,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Gary,Sulikowski,Vanderbilt University,Tennessee,Nashville,https://lab.vanderbilt.edu/sulikowski-lab/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Steven,Townsend,Vanderbilt University,Tennessee,Nashville,http://www.townsendchemistry.org/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Bob,Kane,Baylor University,Texas,Waco,https://www.bobkanelab.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Kevin,Pinney,Baylor University,Texas,Waco,https://sites.baylor.edu/pinneygroup/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Liela,Romero,Baylor University,Texas,Waco,https://www.theromerolab.com/,true,Sun Sep 25 2022 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Nov 24 2022 00:00:00 GMT-0500 (Eastern Standard Time),https://www.theromerolab.com/,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Daniel,Romo,Baylor University,Texas,Waco,http://www.danielromogroup.com,true,Fri Nov 04 2022 00:00:00 GMT-0400 (Eastern Daylight Time),Tue Jan 03 2023 00:00:00 GMT-0500 (Eastern Standard Time),https://baylorsynthesisdrugleadlab.com/,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
John,Wood,Baylor University,Texas,Waco,https://www.johnwoodgroup.com,,,,https://www.johnwoodgroup.com,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Zachary,Ball,Rice University,Texas,Houston,http://ztb.rice.edu,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
László,Kürti,Rice University,Texas,Houston,http://kurtilabs.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
K. C.,Nicolaou,Rice University,Texas,Houston,http://nicolaou.rice.edu,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Julian,West,Rice University,Texas,Houston,https://www.westchem.org/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Kevin,Burgess,Texas A & M University,Texas,College Station,https://www.chem.tamu.edu/rgroup/burgess/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Sergei,Dzyuba,Texas Christian University,Texas,,https://personal.tcu.edu/sdzyuba/HOME.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jean-Luc,Montchamp,Texas Christian University,Texas,,https://personal.tcu.edu/jmontchamp/montchamp.htm,,,,,,,
Eric,Simanek,Texas Christian University,Texas,,http://ericsimanek.com/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Haibo,Ge,Texas Tech University,Texas,Lubbock,https://geresearchgroup.wixsite.com/home,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Anne,Gorden,Texas Tech University,Texas,Lubbock,https://annegorden.wixsite.com/website,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Guigen,Li,Texas Tech University,Texas,Lubbock,https://www.depts.ttu.edu/chemistry/Faculty/li/index.php,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Michael,Mayer,Texas Tech University,Texas,Lubbock,https://www.depts.ttu.edu/chemistry/Faculty/mayer/index.php,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Greg,Cuny,University of Houston,Texas,Houston,https://uh.edu/pharmacy/directory-home/pps-faculty/greg-cuny/index.php,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Olafs,Daugulis,University of Houston,Texas,Houston,http://olafs.chem.uh.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Loi,Do,University of Houston,Texas,Houston,https://sites.google.com/view/doresearch,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Scott,Gilbertson,University of Houston,Texas,Houston,https://srgilber.wixsite.com/mysite,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jeremy,May,University of Houston,Texas,Houston,http://may.chem.uh.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Ognjen,Miljanic,University of Houston,Texas,Houston,http://nsmn1.uh.edu/miljanic/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jef De,Brabander,University of Texas Southwestern Medical,Texas,Dallas,https://labs.utsouthwestern.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Chuo,Chen,University of Texas Southwestern Medical,Texas,Dallas,https://chuochen.github.io/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Tian,Qin,University of Texas Southwestern Medical,Texas,Dallas,https://labs.utsouthwestern.edu/qin-lab,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Joseph,Ready,University of Texas Southwestern Medical,Texas,Dallas,https://labs.utsouthwestern.edu/ready-lab,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Myles,Smith,University of Texas Southwestern Medical,Texas,Dallas,https://labs.utsouthwestern.edu/smith-myles-lab,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Uttam,Tambar,University of Texas Southwestern Medical,Texas,Dallas,https://labs.utsouthwestern.edu/tambar-lab,,,,https://www.utsouthwestern.edu/labs/tambar/,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Frank,Foss,"University of Texas, Arlington",Texas,Arlington,https://mentis.uta.edu/explore/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Junha,Jeon,"University of Texas, Arlington",Texas,Arlington,https://www.uta.edu/academics/schools-colleges/science/departments/chemistry/faculty,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Carl,Lovely,"University of Texas, Arlington",Texas,Arlington,https://www.uta.edu/academics/schools-colleges/science/departments/chemistry/faculty,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Kami,Hull,"University of Texas, Austin",Texas,Austin,https://sites.google.com/utexas.edu/thehullgroup/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Michael,Krische,"University of Texas, Austin",Texas,Austin,https://sites.google.com/a/utexas.edu/the-krische-research-group/home,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Stephen,Martin,"University of Texas, Austin",Texas,Austin,https://sfmartin.cm.utexas.edu/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Jung-Mo,Ahn,"University of Texas, Dallas",Texas,Dallas,https://labs.utdallas.edu/ahn/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Vladimir,Gevorgyan,"University of Texas, Dallas",Texas,Dallas,https://labs.utdallas.edu/gevorgyan-group/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Filo,Romiti,"University of Texas, Dallas",Texas,Dallas,https://labs.utdallas.edu/romiti/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Shizue,Mito,"University of Texas, Rio Grande Valley",Texas,,https://faculty.utrgv.edu/shizue.mito/lab/mito.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Michael,Doyle,"University of Texas, San Antonio",Texas,San Antonio,https://www.utsa.edu/sciences/labs/MichaelDoyle/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Doug,Frantz,"University of Texas, San Antonio",Texas,San Antonio,https://www.utsa.edu/sciences/chemistry/faculty/DougFrantz.html,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Oleg,Larionov,"University of Texas, San Antonio",Texas,San Antonio,http://larionovgroup.com/,,,,http://larionovgroup.com/,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Merritt,Andrus,Brigham Young University,Utah,,https://www.chem.byu.edu/faculty/merritt-b-andrus/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Steven,Castle,Brigham Young University,Utah,,https://www.chem.byu.edu/faculty/steven-l-castle/,,,,https://chembio.byu.edu/castle-lab,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
David,Michaelis,Brigham Young University,Utah,,https://www.chem.byu.edu/faculty/david-j-michaelis/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
Matt,Peterson,Brigham Young University,Utah,,https://www.chem.byu.edu/faculty/matt-a-peterson/,,,,,synthetic organic,https://www.organicdivision.org/organicsyntheticfaculty/,
