primary_investigator,school,institute_carnegie_classification,website,research_interest,postdoc_wanted,postdoc_ads_link,source
Benjamin Miller,Rochester Medical,,https://www.urmc.rochester.edu/labs/benjamin-miller.aspx,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Eriks Rozners,"Binghamton University, SUNY",,http://chemiris.chem.binghamton.edu/ROZNERS/rozners.htm,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Steven Diver,"University at Buffalo, SUNY",,https://arts-sciences.buffalo.edu/chemistry/faculty/faculty-directory/diver.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Sherry Chemler,"University at Buffalo, SUNY",,http://www.acsu.buffalo.edu/~schemler/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ming-Yu Ngai,"Stony Brook University, SUNY",,https://www.ngaigroup.com/p/home.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Iwao Ojima,"Stony Brook University, SUNY",,https://www.stonybrook.edu/commcms/ojima_group/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kathlyn Parker,"Stony Brook University, SUNY",,https://www.stonybrook.edu/commcms/chemistry/faculty/_faculty-profiles/parker-kathy,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ting Wang,"University at Albany, SUNY",,https://www.albany.edu/twanglab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Zhang Wang,"University at Albany, SUNY",,https://zwang9.wixsite.com/orgsyn,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
John Welch,"University at Albany, SUNY",,https://sites.google.com/site/welchresearchlab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Qiang Zhang,"University at Albany, SUNY",,https://www.albany.edu/zhanggroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Mootoo,Hunter College,,http://www.hunter.cuny.edu/chemistry/faculty/Mootoo/Randy,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Wayne Harding,Hunter College,,http://www.hunter.cuny.edu/chemistry/faculty/Harding/Wayne,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Shengping Zheng,Hunter College,,http://www.hunter.cuny.edu/chemistry/faculty/Zheng/Shengping,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Keith Woerpel,NYU,,https://wp.nyu.edu/woerpelgroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Paramjit Arora,NYU,,http://www.nyu.edu/projects/arora/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Tianning Diao,NYU,,https://as.nyu.edu/content/nyu-as/as/faculty/tianning-diao.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Dirk Trauner,NYU,,https://www.traunergroup.org,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Stacey Brenner,CUNY – Brooklyn College,,http://academic.brooklyn.cuny.edu/chem/Brenner/webpage2.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Maria Contel,CUNY – Brooklyn College,,http://www.brooklyn.cuny.edu/web/academics/schools/naturalsciences/undergraduate/chemistry/faculty_details.php?faculty=136,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Alexander Greer,CUNY – Brooklyn College,,http://academic.brooklyn.cuny.edu/chem/agreer/FirstPage.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ryan Murelli,CUNY – Brooklyn College,,http://userhome.brooklyn.cuny.edu/rpmurelli/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
John Chisholm,Syracuse,,https://thecollege.syr.edu/people/faculty/chisholm-john-d/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Nancy Totah,Syracuse,,https://thecollege.syr.edu/people/faculty/totah-nancy-i/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Mark Biscoe,CCNY,,http://mbiscoe.ccny.cuny.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Mahesh Lakshman,CCNY,,https://www.ccny.cuny.edu/profiles/mahesh-lakshman,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Barbara Zajc,CCNY,,https://bzajc.ccny.cuny.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jiyong Hong,Duke,,https://sites.duke.edu/thehonggroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Steven Malcolmson,Duke,,http://malcolmsongroup.chem.duke.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jennifer Roizen,Duke,,https://people.chem.duke.edu/~jlr67/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ross Widenhoefer,Duke,,https://chem.duke.edu/labs/widenhoefer/overview,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Qiu Wang,Duke,,http://www.duke.edu/~qw29/wang_group/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Vincent Lindsay,NC State,,http://lindsaylab.com,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jonathan Lindsey,NC State,,https://sites.google.com/a/ncsu.edu/lindsey-lab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Joshua Pierce,NC State,,https://piercegroup.wordpress.ncsu.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Caroline Proulx,NC State,,https://www.proulxlab.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Erik Alexanian,UNC Chapel Hill,,http://alexanian.chem.unc.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jeffrey Aubé,UNC Chapel Hill,,https://chem.unc.edu/faculty/Aube-Jeff/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michael Crimmins,UNC Chapel Hill,,https://chem.unc.edu/faculty/Crimmins-Michael/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michel Gagné,UNC Chapel Hill,,http://gagnegroup.web.unc.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jeff Johnson,UNC Chapel Hill,,https://sites.google.com/view/jsjresearchgroup/home,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Simon Meek,UNC Chapel Hill,,https://sites.google.com/view/meeklab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Nicewicz,UNC Chapel Hill,,http://nicewicz.chem.unc.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Mark Welker,Wake Forest,,https://chemistry.wfu.edu/people/faculty/mark-welker/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Bruce King,Wake Forest,,https://kinglab.chemistry.wfu.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Mitchell Croatt,UNC Greensboro,,https://chem.uncg.edu/croatt/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kimberley Petersen,UNC Greensboro,,https://chem.uncg.edu/petersen/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Greg Cook,North Dakota State,,http://cook.chem.ndsu.nodak.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Mukund Sibi,North Dakota State,,https://www.ndsu.edu/chemistry/people/faculty/sibi.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Robert Salomon,Case Western,,https://case.edu/artsci/chem/faculty/salomon/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Craig Forsyth,Ohio State,,https://chemistry.osu.edu/people/forsyth.14,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Nagib,Ohio State,,https://research.cbc.osu.edu/nagib.1/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jon Parquette,Ohio State,,https://research.cbc.osu.edu/parquette.1/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
T. V. Rajanbabu,Ohio State,,https://research.cbc.osu.edu/rajanbabu.1/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Blake Peterson,Ohio State – College of Pharmacy,,https://pharmacy.osu.edu/directory/blake-r-peterson,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Stephen Bergmeier,Ohio University,,https://www.ohio.edu/cas/bergmeis,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Mark McMills,Ohio University,,https://www.ohio.edu/cas/mcmills,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Benjamin Gung,Miami-Ohio,,http://chemistry.muohio.edu/gung/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Peter Andreana,University of Toledo,,https://www.andreanagroup.com,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Wei Li,University of Toledo,,https://wei-li-jgtz.squarespace.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Steven Shucheck,University of Toledo,,http://sucheckgroup.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michael Young,University of Toledo,,https://www.younggroupchem.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jianglong Zhu,University of Toledo,,https://www.utoledo.edu/nsm/chemistry/people/Webpages/Zhu.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kenneth Nicholas,Oklahoma,,http://www.ou.edu/content/cas/chemistry/directory/faculty/kenneth-nicholas.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Adam Duerfeldt,Oklahoma,,http://www.duerfeldtlabs.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Anthony Burgett,Oklahoma,,https://www.burgettresearchgroup.org,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Indrajeet Sharma,Oklahoma,,https://indrajeetsharma.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Richard Bunce,Oklahoma State,,http://chemistry.okstate.edu/bios/348-faculty-member-bio-bunce,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Toby Nelson,Oklahoma State,,https://nelsonlab.okstate.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jimmie Pitre,Oklahoma State,,http://pitrelab.okstate.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jimmie Weaver,Oklahoma State,,http://weaverlab.okstate.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Syed Hussaini,University of Tulsa,,http://hussaini.ens.utulsa.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
James White,Oregon State,,http://chemistry.oregonstate.edu/white/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Rich Carter,Oregon State,,https://carterlab.oregonstate.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Paul Blakemore,Oregon State,,http://chemistry.oregonstate.edu/blakemore/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Chris Beaudry,Oregon State,,https://beaudry.chem.oregonstate.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michael Haley,Oregon,,http://darkwing.uoregon.edu/%7Echem/haley.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Stuart,Portland State University,,http://web.pdx.edu/~dstuart/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Marisa Kozlowski,Pennsylvania,,http://www.sas.upenn.edu/%7Emarisa/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Gary Molander,Pennsylvania,,http://molandergroup.chem.upenn.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Amos Smith,Pennsylvania,,http://web.sas.upenn.edu/smithgroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jeffrey Winkler,Pennsylvania,,http://www.chem.upenn.edu/profile/jeffrey-d-winkler,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ramesh Giri,Penn State,,https://sites.psu.edu/girigroup/ramesh-giri-principal-investigator/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Eric Nacsa,Penn State,,https://science.psu.edu/chem/people/edn5056,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kay Brummond,Pittsburgh,,https://www.chem.pitt.edu/person/kay-m-brummond,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Dennis Curran,Pittsburgh,,https://www.chem.pitt.edu/person/dennis-curran,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Alexander Deiters,Pittsburgh,,http://www.pitt.edu/~deiters/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Paul Floreancig,Pittsburgh,,https://floreancig.weebly.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kazunori Koide,Pittsburgh,,https://www.chem.pitt.edu/person/kazunori-koide,synthetic organic,True,https://www.chem.pitt.edu/person/kazunori-koide,https://www.organicdivision.org/organicsyntheticfaculty/
Xinyu Liu,Pittsburgh,,http://www.pitt.edu/~xinyuliu/lab/Home.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Yiming Wang,Pittsburgh,,https://www.wanglab.chem.pitt.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Peter Wipf,Pittsburgh,,http://ccc.chem.pitt.edu/wipf/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Franklin Davis,Temple,,https://chem.cst.temple.edu/davis.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Scott Sieburth,Temple,,https://sites.temple.edu/sieburthlab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Rodrigo Andrade,Temple,,https://sites.temple.edu/andradelab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Sarah Wengryniuk,Temple,,https://wengryniuklab.weebly.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Fraser Fleming,Drexel,,http://www.pages.drexel.edu/~fff27/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Dionicio Martinez,Drexel,,https://drexel.edu/coas/faculty-research/faculty-directory/dionicio-martinez-solorio/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
William Malachowski,Bryn Mawr,,http://malachowski.blogs.brynmawr.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Robert Flowers,Lehigh,,http://flowersgroup.cas2.lehigh.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Vicic,Lehigh,,http://vicic.cas2.lehigh.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Lapinsky,Duquesne,,http://www.duq.edu/academics/faculty/david-lapinsky,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
John Soderquist,Puerto Rico,,http://chemistry.uprrp.edu/people/faculty/john-a-soderquist,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Amit Basu,Brown,,https://vivo.brown.edu/display/abasu#,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Paul Williard,Brown,,https://www.brown.edu/academics/chemistry/people/faculty/paul-g-williard,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Christopher Seto,Brown,,http://casey.brown.edu/chemistry/research/seto/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Brenton DeBoef,Rhode Island,,https://www.chm.uri.edu/deboefDevel/wordpress/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Sheryl Wiskur,South Carolina,,http://artsandsciences.sc.edu/chemistry/groups/wiskur/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Daniel Whitehead,Clemson,,http://www.clemson.edu/science/departments/chemistry/people/faculty/whitehead.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Baker,Tennessee,,https://chem.utk.edu/people/david-c-baker/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ampofo Darko,Tennessee,,https://darkolab.utk.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michio Kurosu,Tennessee Health Science Center,,https://academic.uthsc.edu/faculty/facepage.php?netID=mkurosu&personnel_id=287119,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Carmelo Rizzo,Vanderbilt,,https://www.vanderbilt.edu:443/chemistry/faculty/rizzo.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Gary Sulikowski,Vanderbilt,,https://lab.vanderbilt.edu/sulikowski-lab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jeffrey Johnston,Vanderbilt,,http://www.johnstonchemistry.org/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Craig Lindsley,Vanderbilt,,https://lab.vanderbilt.edu/lindsleylab/,synthetic organic,True,https://lab.vanderbilt.edu/lindsleylab/,https://www.organicdivision.org/organicsyntheticfaculty/
Steven Townsend,Vanderbilt,,https://www.townsendchemistry.org,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Richard Lee,St. Jude Children’s Research Hospital,,https://www.stjuderesearch.org/site/lab/lee,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Fatima Rivas,St. Jude Children’s Research Hospital,,https://www.stjuderesearch.org/site/lab/rivas,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Bob Kane,Baylor,,http://bobkanelab.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kevin Pinney,Baylor,,https://sites.baylor.edu/pinneygroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Liela Romero,Baylor,,http://theromerolab.com,synthetic organic,True,http://theromerolab.com,https://www.organicdivision.org/organicsyntheticfaculty/
Daniel Romo,Baylor,,http://www.danielromogroup.com,synthetic organic,True,https://baylorcpritlab.com/,https://www.organicdivision.org/organicsyntheticfaculty/
John Wood,Baylor,,https://www.johnwoodgroup.com,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jef De Brabander,UT Southwestern Medical,,http://www4.utsouthwestern.edu/jdebralab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Joseph Ready,UT Southwestern Medical,,https://www.utsouthwestern.edu/labs/ready/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Chuo Chen,UT Southwestern Medical,,http://www4.utsouthwestern.edu/chuochen/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Uttam Tambar,UT Southwestern Medical,,https://www.utsouthwestern.edu/labs/tambar/,synthetic organic,True,https://www.utsouthwestern.edu/labs/tambar/,https://www.organicdivision.org/organicsyntheticfaculty/
Tian Qin,UT Southwestern Medical,,https://www.utsouthwestern.edu/labs/qin/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Myles Smith,UT Southwestern Medical,,https://www.utsouthwestern.edu/labs/smith-myles/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kevin Burgess,Texas A & M,,https://www.chem.tamu.edu/rgroup/burgess/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Carl Lovely,Texas – Arlington,,https://www.uta.edu/chemistry/faculty/carl_lovely.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Frank Foss,Texas – Arlington,,http://www.uta.edu/faculty/ffoss/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Junha Jeon,Texas – Arlington,,https://www.uta.edu/chemistry/faculty/junha_jeon.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Alejandro Bugarin,Texas – Arlington,,http://www.uta.edu/faculty/bugarin/AB_UTA/Home.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Hyunsoo Han,Texas – San Antonio,,https://chemistry.utsa.edu/archives/853,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
George Negrete,Texas – San Antonio,,https://chemistry.utsa.edu/archives/878,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Oleg Larionov,Texas – San Antonio,,http://larionovgroup.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
John C.-G. Zhao,Texas – San Antonio,,https://chemistry.utsa.edu/archives/897,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Doug Frantz,Texas – San Antonio,,https://chemistry.utsa.edu/frantzlab/dr-frantz/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michael Doyle,Texas – San Antonio,,https://chemistry.utsa.edu/doylelab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Shizue Mito,Texas – El Paso,,http://utminers.utep.edu/smito2/research.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jung-Mo Ahn,Texas – Dallas,,https://labs.utdallas.edu/ahn/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Vladimir Gevorgyan,Texas – Dallas,,https://labs.utdallas.edu/gevorgyan-group/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Eric Welin,Texas – Dallas,,https://profiles.utdallas.edu/ewelin,synthetic organic,True,https://jobs.utdallas.edu/postings/14133,https://www.organicdivision.org/organicsyntheticfaculty/
Zachary Ball,Rice,,http://www.ztb.rice.edu/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
K. C. Nicolaou,Rice,,http://nicolaou.rice.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
László Kürti,Rice,,http://kurtilabs.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Julian West,Rice,,http://westchem.org,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kami Hull,Texas – Austin,,https://sites.google.com/utexas.edu/thehullgroup/home,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michael Krische,Texas – Austin,,https://sites.google.com/a/utexas.edu/the-krische-research-group/home,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Stephen Martin,Texas – Austin,,https://sfmartin.cm.utexas.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Guigen Li,Texas Tech,,http://www.depts.ttu.edu/chemistry/Faculty/li/index.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michael Mayer,Texas Tech,,http://www.depts.ttu.edu/chemistry/Faculty/mayer/index.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jean-Luc Montchamp,Texas Christian,,http://personal.tcu.edu/jmontchamp/montchamp.htm,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Olafs Daugulis,Houston,,http://olafs.chem.uh.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ognjen Miljanic,Houston,,http://nsmn1.uh.edu/miljanic/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jeremy May,Houston,,http://may.chem.uh.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Scott Gilbertson,Houston,,https://srgilber.wixsite.com/mysite,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Greg Cuny,Houston,,http://www.uh.edu/pharmacy/directory-home/pps-faculty/greg-cuny/index.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Sergei Dzyuba,Texas Christian,,http://personal.tcu.edu/sdzyuba/HOME.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Eric Simanek,Texas Christian,,http://ericsimanek.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Merritt Andrus,Brigham Young,,http://www.chem.byu.edu/faculty/merritt-b-andrus/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Steven Castle,Brigham Young,,http://www.chem.byu.edu/faculty/steven-l-castle/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Matt Peterson,Brigham Young,,http://www.chem.byu.edu/faculty/matt-a-peterson/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Paul Savage,Brigham Young,,http://www.chem.byu.edu/faculty/paul-b-savage/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Michaelis,Brigham Young,,http://www.chem.byu.edu/faculty/david-j-michaelis/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Gary Keck,Utah,,http://www.chem.utah.edu/directory/keck.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Matthew Sigman,Utah,,http://www.chem.utah.edu/directory/sigman/research-group/index.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Janis Louie,Utah,,http://www.chem.utah.edu/directory/louie/research-group/index.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ryan Looper,Utah,,http://www.chem.utah.edu/directory/looper/research-group/index.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jon Rainier,Utah,,http://www.chem.utah.edu/directory/rainier/research-group/index.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Bradley Davidson,Utah State,,https://chem.usu.edu/faculty_staff/faculty/bradley_s_davidson,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Tom Chang,Utah State,,http://ion.chem.usu.edu/~tchang/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jose Madalengoitia,Vermont,,https://www.uvm.edu/cas/chemistry/profiles/jose-s-madalengoitia,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Matthias Brewer,Vermont,,https://www.uvm.edu/cas/chemistry/profiles/matthias-brewer,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Dean Harman,Virginia,,https://sites.google.com/view/the-harman-lab-uva/home,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
T. Brent Gunnoe,Virginia,,https://gunnoelab.virginia.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michael Hilinski,Virginia,,http://www.hilinskilab.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Lin Pu,Virginia,,https://chemistry.as.virginia.edu/people/profile/lp6n,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Paul Carlier,Virginia Tech,,https://www.carlierlab.com,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Felicia Etzkorn,Virginia Tech,,https://chem.vt.edu/people/faculty/teaching-and-research/fetzkorn.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
David Kingston,Virginia Tech,,http://www.kingston.chem.vt.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Webster Santos,Virginia Tech,,http://www.santosgroup.chem.vt.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kyle Lambert,Old Dominion University,,https://sites.wp.odu.edu/thelambertgroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Guijun Wang,Old Dominion University,,https://sites.google.com/a/odu.edu/wang-group/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Ming Xian,Washington State,,http://xian.chem.wsu.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
