primary_investigator,school,institute_carnegie_classification,website,research_interest,postdoc_wanted,postdoc_ads_link,source
Michael Rubin,Kansas,,http://chem.ku.edu/people/faculty/mrubin,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jon Tunge,Kansas,,http://tungegroup.ku.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Bob Grossman,Kentucky,,https://chem.as.uky.edu/users/rbgros1,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
R. Kiplin Guy,"Kentucky, College of Pharm.",,http://pharmacy.uky.edu/faculty/rkgu223/Rodney-Guy,synthetic organic,True,http://ukjobs.uky.edu/postings/293026,https://www.organicdivision.org/organicsyntheticfaculty/
Thomas Prisinzano,"University of Kentucky, College of Pharm.",,https://www.prisinzanolab.com,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Dave Watt,Kentucky,,http://biochemistry.med.uky.edu/users/dwatt,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Frederick Luzzio,University of Louisville,,http://louisville.edu/chemistry/directory/faculty/frederick-a.-luzzio,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michael Nantz,University of Louisville,,http://www.nantzgroup.com/Nantz_Lab/Homepage.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Gerald Hammond,University of Louisville,,http://louisville.edu/chemistry/directory/faculty/gerald-b.-gb-hammond,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Rendy Kartika,Louisiana State,,https://sites01.lsu.edu/faculty/rkartika/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Semin Lee,Louisiana State,,https://www.seminlee.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Justin Ragains,Louisiana State,,https://faculty.lsu.edu/ragains/index.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Carol Taylor,Louisiana State,,https://faculty.lsu.edu/cmtaylor/index.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Mark Trudell,New Orleans,,https://www.uno.edu/profile/faculty/mark_trudell,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Matthew Brichacek,Maine,,https://umaine.edu/brichlab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Thomas Lectka,Johns Hopkins,,http://lectka.chemistry.jhu.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Rebekka Klausen,Johns Hopkins,,https://pages.jh.edu/~chem/klausen/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Craig Townsend,Johns Hopkins,,https://sites.krieger.jhu.edu/townsend-lab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Caren Meyers,Johns Hopkins,,https://www.hopkinsmedicine.org/pharmacology_molecular_sciences/faculty/bios/meyers.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Philip DeShong,Maryland,,http://www.chem.umd.edu/faculty-staff-directory/facultydirectory/philip-deshong,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Osvaldo Gutierrez,Maryland,,https://www.gutierrezlabs.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Katherine Seley-Radke,"Maryland, Baltimore Co.",,https://chemistry.umbc.edu/seley-radtke-lab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Daniel Appella,"NIDDK, NIH",,https://www.niddk.nih.gov/research-funding/at-niddk/labs-branches/laboratory-bioorganic-chemistry/synthetic-bioactive-molecules-section,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
John Schneekloth,"NCI, NIH",,https://irp.nih.gov/pi/john-schneekloth,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Martin Schnermann,"NCI, NIH",,https://ccr.cancer.gov/Chemical-Biology-Laboratory/martin-j-schnermann,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Clifton Barry,"NIAID, NIH",,https://www.niaid.nih.gov/research/clifton-e-barry-iii-phd,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Amir Hoveyda,Boston College,,https://sites.bc.edu/amir-hoveyda/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
James Morken,Boston College,,https://sites.google.com/bc.edu/james-morken//,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
